file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\generation\java\CharacterEncodingTest.java,uk.co.real_logic.sbe.generation.java.CharacterEncodingTest,class,12,13,1,12,11,1,0,30,3,0.6666667,0.0,0.0,3,1,0,2,0,1,2,0,0,0,1,1,0,1,0,0,1,0,6,81,0,6,0,0,1,95,5,21,6,20,2,0,0,0,103,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\generation\java\GenerateIlinkBinaryTest.java,uk.co.real_logic.sbe.generation.java.GenerateIlinkBinaryTest,class,14,14,0,14,2,1,0,29,1,0.7,0.0,0.0,2,0,0,0,0,2,2,0,0,0,5,4,0,5,0,0,5,0,9,58,0,0,0,4,0,8,2,27,3,27,2,0,0,0,62,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\codec\java\MethodSelector.java,uk.co.real_logic.sbe.codec.java.MethodSelector,class,2,3,1,2,20,1,0,21,2,0.5,0.0,0.0,5,1,3,2,0,0,3,0,0,0,2,0,0,2,0,0,2,0,5,63,6,4,6,0,0,8,2,10,0,10,5,0,0,0,48,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\generation\java\SinceVersionTransformedSchemaJavaGenerationTest.java,uk.co.real_logic.sbe.generation.java.SinceVersionTransformedSchemaJavaGenerationTest,class,12,13,1,12,3,1,0,15,3,0.0,NaN,NaN,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,25,2,0,0,1,0,8,0,10,3,12,1,0,0,2,47,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\c\CUtil.java,uk.co.real_logic.sbe.generation.c.CUtil,class,4,6,2,4,11,1,0,9,10,0.8,0.0,0.0,5,5,5,0,0,0,6,0,0,0,1,1,0,1,0,0,1,0,6,48,8,0,1,0,0,22,3,4,5,3,2,0,0,0,80,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\c\CGenerator.java,uk.co.real_logic.sbe.generation.c.CGenerator,class,13,15,2,13,131,1,0,131,1177,0.89,0.6,0.6,50,15,3,45,0,2,5,0,0,0,2,0,0,2,0,0,2,0,197,589,51,12,28,4,0,1189,42,155,100,140,2,0,0,2,301,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\xml\EnumType.java,uk.co.real_logic.sbe.xml.EnumType$ValidValue,innerclass,4,4,0,4,7,1,0,8,0,0.5714286,0.52380955,1.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,5,0,8,33,6,0,0,0,0,12,0,5,2,5,0,0,0,0,47,9,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\generation\rust\RustUtil.java,uk.co.real_logic.sbe.generation.rust.RustUtil$ReservedKeyword,enum,1,1,0,1,3,1,0,5,0,0.0,0.0,0.0,1,1,0,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,1,10,1,1,0,0,0,0,0,1,0,1,1,0,0,0,19,0,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\main\java\uk\co\real_logic\sbe\xml\SchemaTransformer.java,uk.co.real_logic.sbe.xml.SchemaTransformer,interface,2,9,7,2,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,1,39,1,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\propertyTest\java\uk\co\real_logic\sbe\properties\schema\MessageSchema.java,uk.co.real_logic.sbe.properties.schema.MessageSchema,class,4,8,4,4,8,1,0,20,12,0.65625,0.1904762,0.47619048,8,1,7,1,0,0,7,0,0,0,4,0,0,4,0,0,4,0,8,36,7,0,0,0,0,0,5,7,0,8,0,0,0,1,19,17,0
E:\OOD_Assignment\simple-binary-encoding\sbe-tool\src\test\java\uk\co\real_logic\sbe\xml\EmbeddedLengthAndCountFileTest.java,uk.co.real_logic.sbe.xml.EmbeddedLengthAndCountFileTest,class,6,6,0,6,2,1,0,12,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,2,0,3,6,5,0,5,1,0,0,0,29,0,0
